filename,emotion,tempo,rms_mean,rms_std,spec_centroid_mean,spec_centroid_std,spec_bandwidth_mean,spec_bandwidth_std,spec_rolloff_mean,spec_rolloff_std,spec_flatness_mean,spec_flatness_std,zcr_mean,zcr_std,tonnetz_mean,tonnetz_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,contrast_1_mean,contrast_1_std,contrast_2_mean,contrast_2_std,contrast_3_mean,contrast_3_std,contrast_4_mean,contrast_4_std,contrast_5_mean,contrast_5_std,contrast_6_mean,contrast_6_std,contrast_7_mean,contrast_7_std
D:\AI\EmoSpeech\dataset\TESS\OAF_angry\OAF_back_angry.wav,angry,143.5546875,0.04158953,0.03708001,2041.7290767031984,1187.5409380862798,2096.9926635516126,473.74051231253446,3541.0870452425374,2261.693380762167,0.012776945,0.035541657,0.08516499533582089,0.09689220370309996,0.029855588904722362,0.17133753406415414,-383.43262,113.86989,52.460808,47.061436,-17.608944,37.84518,-11.81031,36.54767,-4.7076297,25.342297,7.513892,19.934593,-25.082636,22.520002,-6.9484596,19.841871,-10.093307,16.168966,-3.254937,12.913539,0.2810378,14.488844,0.6566969,10.240404,2.0474985,13.852307,0.4928357,0.36736518,0.52864635,0.3908457,0.27508625,0.3134353,0.1704524,0.21968614,0.21498403,0.27575436,0.23147362,0.28874388,0.22650056,0.3089739,0.3070237,0.30367112,0.33548826,0.34503767,0.24137697,0.3182561,0.26754886,0.34231597,0.36766317,0.36153752,25.62541512705706,6.028276793571295,22.87576139368163,9.118274883220035,26.140446096829212,10.182928248676161,22.077242324429957,8.285298083607591,23.315031342555436,6.378788547830863,19.226012258530506,3.8793020238294456,47.54185737219959,6.079370907359272
D:\AI\EmoSpeech\dataset\TESS\OAF_angry\OAF_bar_angry.wav,angry,129.19921875,0.022694035,0.0172271,2033.578412648292,1302.3442620856945,2134.9502926046284,532.8174407400579,3490.5322265625,2536.703376589504,0.009290146,0.025196146,0.09349190848214285,0.09215569569355157,0.04453745926931396,0.19870803196923736,-444.5501,114.485176,65.29204,62.19394,-2.5716543,32.515205,-20.355955,42.692093,-10.516433,26.050726,10.241208,25.179028,-9.607936,21.215149,-1.35531,22.266838,-12.456924,15.626382,2.8278713,15.77757,-9.535598,16.122787,9.995904,12.01837,-0.7910776,12.628256,0.58838296,0.38209963,0.41328827,0.34327066,0.23599671,0.28857622,0.22695462,0.28427154,0.30463985,0.35231546,0.31031525,0.36146042,0.21599849,0.29156148,0.2206962,0.2909982,0.19407757,0.2563921,0.19274952,0.27897108,0.24124297,0.34552842,0.3195735,0.299554,26.34919199854577,4.70023659394762,25.328362713365596,8.180157249107404,25.667467366468294,9.734237289196887,22.79400616711488,8.2748017354243,24.684645147197102,7.301509786477363,20.063572771590238,4.373694698635869,50.49840564324042,5.98322258850274
D:\AI\EmoSpeech\dataset\TESS\OAF_angry\OAF_base_angry.wav,angry,143.5546875,0.029980479,0.02771889,2781.496360971681,1605.301476752788,2428.5647473906915,471.25728323983185,5007.112508745336,2690.0917585915263,0.02593611,0.047035526,0.13588794309701493,0.1339049256638945,-0.010222300001043086,0.17814420732184189,-402.19266,102.26496,26.256584,48.884304,-5.02363,29.199118,-0.40751934,30.219666,-0.95222354,24.103855,0.91304576,22.455408,-19.256067,23.452791,-2.46023,19.758387,-13.16589,15.504641,-1.0565393,16.358929,-12.630615,14.191882,7.668492,11.588476,-0.76371986,11.63853,0.4012956,0.33924177,0.5167298,0.3734734,0.3141511,0.27549267,0.23578951,0.31520313,0.23839003,0.3155175,0.24027008,0.3043496,0.19100037,0.29698637,0.17565922,0.2686245,0.20022571,0.23083942,0.2434802,0.31057575,0.34230515,0.40746558,0.37466618,0.3861039,26.853771140966057,4.424097086922948,24.374762956582348,8.424214919995183,26.384952362084988,11.348431143261699,22.020998575740787,8.627954161223583,23.38709683391053,8.119015684619502,20.55342616812534,4.547760250453248,50.97155181485292,5.1545276197288
D:\AI\EmoSpeech\dataset\TESS\OAF_angry\OAF_bath_angry.wav,angry,95.703125,0.04318238,0.03829714,2356.2497161079978,1626.1135247775574,2194.6825767851333,678.5664749696136,4049.47265625,2889.283015626873,0.016633904,0.03743736,0.10701729910714286,0.12247405251238282,0.023462574730087424,0.19249792164838447,-383.49704,111.689514,52.38679,53.01738,-11.534899,40.071728,-13.97594,32.5193,-3.9067545,23.65633,6.8141117,15.869446,-21.693228,23.487125,-7.6809745,22.25928,-13.30478,13.056817,-3.1693301,11.763434,-1.6435299,14.720446,1.3886418,8.746621,0.60374606,11.782042,0.4755493,0.36352018,0.3166933,0.34135002,0.20136009,0.2714644,0.21380813,0.302585,0.2094522,0.2515128,0.25007808,0.3214785,0.28849536,0.3534162,0.3008342,0.31905863,0.29578933,0.35539275,0.24857166,0.3164279,0.2716785,0.29692104,0.4375831,0.36305293,25.906207807673518,5.686999706284874,23.258088143467077,8.544894746295931,25.518115696150463,10.029011008770485,20.620700737225736,7.33533355721776,22.62764416817503,6.886087261556782,19.240855266429353,3.735189904263352,47.264581512061476,6.324371024170039
D:\AI\EmoSpeech\dataset\TESS\OAF_angry\OAF_bean_angry.wav,angry,112.34714673913044,0.030609177,0.020426441,2190.503241746683,1358.3203545537422,2200.9424303433916,582.212576750952,4082.30700883709,2701.780301928513,0.0098949475,0.02640406,0.08139888575819672,0.09822187247715929,-0.0344441037805595,0.1769325484341679,-398.56268,94.341644,51.876442,49.553967,3.3703012,32.78528,8.665921,34.407806,3.880992,23.49412,0.73204535,19.756672,-24.158323,22.02137,7.4863,20.637945,-19.511465,16.538805,-12.444626,14.592142,-11.40149,11.734655,-1.8055328,11.257227,-4.8490553,11.605876,0.40733847,0.3747105,0.48279884,0.36955154,0.37439957,0.3718287,0.25461623,0.32863802,0.18531984,0.26365072,0.1671187,0.26464346,0.11435986,0.20823906,0.12649246,0.19653544,0.18738033,0.2764309,0.21111684,0.35301924,0.22390516,0.35595778,0.20694096,0.262852,25.292544634930497,5.207400541937605,26.635655744771064,7.954395549839702,26.412798696846522,8.371969450766551,22.69821030083946,7.261598370738879,22.729219767354362,5.825192423753309,19.76658647422063,3.3822061529168046,50.2845522808354,5.559529911527254
D:\AI\EmoSpeech\dataset\TESS\OAF_angry\OAF_beg_angry.wav,angry,123.046875,0.028354723,0.0228258,2053.2566391141963,1188.0749194296006,2279.7171489753187,429.81417109583424,3866.4955253031717,2318.0153613962916,0.008935631,0.025589027,0.07206885494402986,0.07950460528752122,0.03116283970825107,0.18074579643989594,-426.49225,117.57838,48.658615,43.91643,-5.1625366,35.460854,-1.205171,28.872255,6.4772143,21.581432,3.146611,21.12979,-26.088898,23.471458,-3.3816504,18.122782,-10.431431,15.142956,-4.492163,12.293851,-10.119593,14.173784,9.477036,10.847391,0.9513108,11.226964,0.4995498,0.4115959,0.27471372,0.29876843,0.27725285,0.3832169,0.2375178,0.31036443,0.24591784,0.30589986,0.27700365,0.36192787,0.29386932,0.37247747,0.2778959,0.3480146,0.21940632,0.29841062,0.21098936,0.30703983,0.2692039,0.3172513,0.42672142,0.37663144,29.02386538577223,5.151891381743132,25.43260480692425,9.25693155553494,27.320447924174236,10.61566173371837,21.698376530123035,7.774615616406832,22.410065077285417,6.312728310264174,20.65102098192415,4.450626495941251,50.03129796021687,7.92023957793472
D:\AI\EmoSpeech\dataset\TESS\OAF_angry\OAF_bite_angry.wav,angry,129.19921875,0.042434167,0.03337924,1999.9761278573192,1173.8570378503423,2122.554282776808,461.1600859830222,3554.3677545362902,2330.238998536004,0.011642612,0.03018614,0.07954259072580645,0.0855804682926083,-0.032169244477535844,0.1877290184506921,-394.1027,116.02692,52.584747,44.100136,-12.002746,34.14013,-1.386606,30.234243,-5.063762,29.743317,-1.3075966,21.101622,-23.385843,24.644432,1.4099202,18.513895,-13.218601,15.399724,-0.8935085,15.33295,-11.815134,15.489223,6.3769255,12.893949,-5.4786277,14.371392,0.20234412,0.28024915,0.232966,0.22447059,0.47571376,0.395976,0.4636455,0.36362013,0.31288108,0.36973464,0.16834512,0.2603635,0.1577238,0.27454388,0.15182564,0.24879353,0.16529484,0.23410407,0.23960817,0.29058003,0.2812409,0.31388885,0.31337085,0.39148644,26.460199137179412,6.106803813061173,24.88115435178687,9.242997369352924,26.73995042832902,9.622624516450943,22.582007303620014,8.178233411957716,22.950983120886722,7.4913587521430225,20.109547031831546,4.178676863888075,50.26540951498764,6.893775640976425
D:\AI\EmoSpeech\dataset\TESS\OAF_angry\OAF_boat_angry.wav,angry,135.99917763157896,0.035821624,0.025343273,1808.7394976547776,1446.634294919048,1953.475969457833,538.8427980849168,2922.3897999730602,2561.657914695919,0.013401291,0.035487,0.08557549838362069,0.12104993663115748,0.045230963948617316,0.19568642464481664,-428.89124,104.15223,72.86162,56.942486,8.579586,29.308308,-8.18933,31.288202,-9.770328,33.979332,0.6140671,24.674585,-16.93771,23.49324,0.8886357,23.412464,-18.803368,14.788695,-6.281437,13.053736,-10.232633,12.958625,0.41396818,11.712092,-2.4232147,10.454114,0.47814208,0.3698093,0.23361793,0.28669325,0.12078979,0.18228318,0.18049723,0.29960698,0.1924457,0.3180783,0.15157911,0.26294115,0.1392305,0.23699886,0.15324432,0.24112673,0.18615198,0.2873732,0.23412088,0.36897126,0.32241789,0.35245714,0.5623842,0.3923989,25.45864610165394,5.611218935599043,23.67392279975359,8.474983654930226,27.47901738072792,10.558681972495885,23.712091905944483,8.461269673194005,22.869723623293527,6.965884012862023,19.623859918221502,4.273273674899595,50.2096621325342,7.179228409435101
D:\AI\EmoSpeech\dataset\TESS\OAF_angry\OAF_bone_angry.wav,angry,135.99917763157896,0.049989767,0.03814266,1902.8729203901369,1475.9757320403437,2109.9991589000365,532.8343977923798,3292.1875,2768.3232634094434,0.008757102,0.02518432,0.08293999565972222,0.12179470040346758,0.03432602316829286,0.17156654178643746,-390.20944,110.2714,60.07312,56.391636,18.27378,27.14695,-0.74524254,25.805967,-17.144344,33.200043,-2.9954176,27.817932,-11.515591,22.3354,1.9162415,22.975563,-20.3504,17.649427,1.299124,14.613581,-13.951015,14.328704,1.3853321,13.661704,-2.9388225,10.689215,0.44005358,0.40412953,0.22602466,0.28414956,0.13052307,0.18490547,0.19951397,0.3128274,0.23798609,0.3681766,0.21160337,0.3081387,0.20710541,0.28815812,0.20051815,0.26492077,0.18227686,0.2908311,0.25798884,0.36132511,0.32600126,0.35961658,0.4043043,0.38519394,25.817380889616206,5.319033390301102,24.288894585663726,8.522871726070829,25.94379501585501,9.16758690263532,23.999804953408333,8.482991358838568,21.95601942458106,6.403079779774476,21.007507443331274,4.485718403794349,51.877220765718256,8.4653296225897
D:\AI\EmoSpeech\dataset\TESS\OAF_angry\OAF_book_angry.wav,angry,135.99917763157896,0.034943093,0.030035641,2201.8183400741937,1248.3963778219274,2343.46712811829,454.61337750574893,4186.087313565341,2350.576916883272,0.012482003,0.033079647,0.08841589725378787,0.09138362540721678,-0.019535039013131607,0.1794706603605599,-401.83093,120.38683,44.44039,49.21391,-5.8984413,28.474783,-14.426593,31.86235,-9.032793,32.16654,6.748324,21.80003,-17.64003,20.84819,-3.4502053,20.785872,-17.850769,16.019253,-4.8896346,13.362507,-8.461314,14.764264,11.231445,16.230434,1.8565027,11.692258,0.31220907,0.2935875,0.43444833,0.36937264,0.5597998,0.35308218,0.4605467,0.36391455,0.26021808,0.26107958,0.28383908,0.33134082,0.2401784,0.29860884,0.23861706,0.35271066,0.21194112,0.30160776,0.19964437,0.2729717,0.26759297,0.3355888,0.31530267,0.3566654,28.190279791337776,5.505563075104821,23.17050742523476,9.532321323524767,25.671543517476593,11.187055615482619,23.299927856587626,7.657333556484405,23.65297479150927,6.732265509919928,19.68604854256377,4.7265671508281155,50.01440339510382,8.008201462550462
